revenue_id,order_id,payment_date,amount_paid_usd,payment_status,refund_amount_usd
STA-R15733,STA-O5533,24-12-2023,12.44,Pending,0
STA-R9149,STA-O10192,20-08-2023,140.92,Paid,0
STA-R14538,STA-O8190,13-03-2024,38.92,Paid,38.92
STA-R10629,STA-O7942,14-03-2025,14.4,Paid,0
STA-R16056,STA-O6873,30-03-2023,24.24,Paid,0
STA-R15762,STA-O8798,25-02-2025,65.64,Refunded,0
STA-R16258,STA-O14011,30-04-2025,35.73,Paid,0
STA-R15626,STA-O11508,13-12-2025,0,Paid,0
STA-R9708,STA-O9111,20-06-2025,34.55,Paid,0
STA-R11432,STA-O6201,31-08-2025,22.15,Paid,0
STA-R12587,STA-O13180,16-11-2023,4.37,Paid,4.37
STA-R18209,STA-O10034,21-08-2025,107.49,Paid,0
STA-R12817,STA-O8714,07-01-2024,21.65,Refunded,0
STA-R17559,STA-O7272,13-12-2023,43.8,Paid,0
STA-R17146,STA-O10962,13-12-2023,6.12,Paid,0
STA-R13093,STA-O6366,12-03-2023,4.34,Paid,0
STA-R10864,STA-O6679,04-11-2023,43.4,Paid,43.4
STA-R10311,STA-O10947,29-07-2024,22.38,Paid,22.38
STA-R10460,STA-O10664,18-04-2023,30.32,Pending,0
STA-R13898,STA-O13476,05-06-2023,70.86,Paid,0
STA-R17386,STA-O11855,10-02-2023,24.9,Refunded,0
STA-R16422,STA-O12029,28-12-2025,16.84,Paid,0
STA-R16715,STA-O11902,25-01-2024,7.98,Paid,0
STA-R16075,STA-O9183,04-07-2025,77.24,Pending,0
STA-R13125,STA-O6450,03-10-2024,18.68,Paid,18.68
STA-R15862,STA-O6017,29-04-2023,11.79,Refunded,0
STA-R12495,STA-O6661,04-06-2023,20.36,Refunded,0
STA-R10800,STA-O13095,23-10-2023,116.88,Paid,0
STA-R13663,STA-O10961,06-12-2023,35.76,Paid,0
STA-R14104,STA-O7893,30-03-2025,15.96,Paid,15.96
STA-R12920,STA-O6044,05-10-2023,24.8,Paid,24.8
STA-R16451,STA-O11471,29-09-2025,15.76,Paid,0
STA-R9700,STA-O10755,01-05-2025,55.84,Paid,55.84
STA-R9003,STA-O5072,14-09-2024,14.36,Paid,0
STA-R18228,STA-O11978,12-08-2023,85.62,Paid,0
STA-R13670,STA-O6160,15-08-2025,25.35,Paid,0
STA-R11700,STA-O5147,08-11-2023,14.16,Paid,0
STA-R10512,STA-O12528,02-09-2024,5.48,Paid,0
STA-R17426,STA-O6009,01-07-2025,10.2,Paid,0
STA-R11811,STA-O11109,18-11-2025,13.32,Pending,0
STA-R13495,STA-O10659,21-10-2023,13.4,Paid,0
STA-R14130,STA-O11317,24-11-2024,0,Paid,0
STA-R9344,STA-O8539,21-01-2025,14.75,Paid,0
STA-R17358,STA-O14037,08-03-2024,0,Paid,0
STA-R14407,STA-O11951,31-10-2024,12.26,Paid,0
STA-R9369,STA-O9780,10-12-2025,134.56,Paid,0
STA-R13065,STA-O9999,18-11-2024,5.2,Paid,0
STA-R16877,STA-O9045,03-03-2023,32.67,Paid,0
STA-R13840,STA-O9949,17-11-2023,16.45,Paid,0
STA-R10937,STA-O5135,03-08-2023,3.58,Refunded,0
STA-R18037,STA-O12948,13-10-2025,2.88,Paid,0.71
STA-R16608,STA-O11875,19-10-2025,26.37,Paid,0
STA-R17955,STA-O5290,01-10-2025,9.76,Paid,0
STA-R18268,STA-O11496,14-11-2023,10.24,Paid,0
STA-R14897,STA-O7717,13-01-2025,6.94,Pending,0
STA-R16760,STA-O5340,07-09-2024,69.6,Pending,0
STA-R14416,STA-O12089,14-02-2023,29.24,Paid,0
STA-R10244,STA-O12882,12-03-2025,20.64,Paid,20.64
STA-R14492,STA-O8849,01-07-2024,9.68,Paid,0
STA-R13078,STA-O13479,10-12-2024,49.08,Paid,0
STA-R12045,STA-O8023,21-09-2025,14.72,Paid,0
STA-R12678,STA-O6625,03-08-2024,22.64,Paid,0
STA-R12250,STA-O14030,02-11-2023,5.65,Refunded,0
STA-R16139,STA-O13283,10-11-2024,17.31,Paid,0
STA-R12225,STA-O14088,14-07-2024,23.1,Paid,0
STA-R14984,STA-O11565,25-09-2025,5.2,Paid,5.2
STA-R18486,STA-O7612,04-10-2025,5.48,Paid,0
STA-R16855,STA-O14680,08-02-2024,53.2,Paid,53.2
STA-R12618,STA-O9808,16-09-2024,21.18,Paid,21.18
STA-R13910,STA-O8562,12-12-2024,15.9,Paid,0
STA-R13652,STA-O9713,15-11-2024,18.05,Pending,0
STA-R14670,STA-O5427,07-03-2025,35.72,Paid,35.72
STA-R14623,STA-O12918,22-06-2023,9.36,Paid,0
STA-R18333,STA-O5389,14-08-2025,29,Paid,29
STA-R11452,STA-O9329,04-12-2023,160.45,Paid,0
STA-R16654,STA-O13271,24-08-2024,15.24,Paid,7.53
STA-R16064,STA-O12803,27-05-2024,73.11,Paid,0
STA-R17340,STA-O9709,17-02-2023,33.84,Refunded,0
STA-R14325,STA-O13608,04-01-2025,36.6,Pending,0
STA-R13962,STA-O5218,20-07-2025,17.52,Pending,0
STA-R9172,STA-O8229,08-10-2023,20.9,Paid,0
STA-R16486,STA-O12623,22-03-2024,44.45,Paid,0
STA-R10391,STA-O8341,13-12-2024,7.61,Paid,0
STA-R12103,STA-O12894,23-02-2025,0,Paid,0
STA-R13984,STA-O10595,06-12-2025,16.64,Paid,0
STA-R10670,STA-O14728,10-04-2025,99.4,Paid,0
STA-R15453,STA-O10554,09-08-2024,15.45,Paid,0
STA-R10793,STA-O9196,08-12-2023,13.23,Paid,0
STA-R12136,STA-O9745,02-11-2024,4.83,Paid,0
STA-R16078,STA-O5776,22-10-2025,0,Paid,0
STA-R16978,STA-O12773,13-01-2023,25,Paid,0
STA-R13855,STA-O12296,11-02-2025,97.2,Paid,0
STA-R18192,STA-O10723,20-05-2024,3.77,Paid,0
STA-R14439,STA-O14555,15-08-2025,16.44,Paid,0
STA-R16008,STA-O10413,11-12-2023,17.79,Paid,0
STA-R17381,STA-O6207,04-03-2025,11.1,Paid,11.1
STA-R12264,STA-O5903,07-01-2025,3.45,Paid,0
STA-R13103,STA-O14853,30-04-2024,10.68,Paid,10.68
STA-R9696,STA-O8438,13-09-2023,61.62,Paid,0
STA-R12824,STA-O14960,04-05-2023,23.85,Paid,23.85
STA-R10912,STA-O13957,16-08-2024,32.3,Paid,0
STA-R14053,STA-O13334,04-09-2024,22.08,Paid,0
STA-R16845,STA-O12431,26-07-2024,25.08,Paid,0
STA-R11501,STA-O9181,23-11-2025,8,Paid,0
STA-R16823,STA-O11758,01-07-2024,0,Paid,0
STA-R14414,STA-O13895,14-10-2023,6.96,Paid,6.96
STA-R14288,STA-O13440,23-04-2025,0,Paid,6.56
STA-R13662,STA-O11106,01-08-2025,9.98,Paid,0
STA-R9074,STA-O5544,05-08-2024,10.08,Paid,0
STA-R15891,STA-O14925,02-12-2025,16.74,Paid,16.74
STA-R11962,STA-O9567,06-05-2023,13.32,Paid,0
STA-R12758,STA-O13763,21-04-2025,0,Refunded,0
STA-R10090,STA-O9431,08-01-2023,15.52,Pending,0
STA-R11070,STA-O11562,25-11-2025,3.04,Paid,0
STA-R9816,STA-O5719,26-10-2023,7,Paid,0
STA-R10983,STA-O12960,24-06-2023,13.41,Pending,0
STA-R15024,STA-O8362,07-02-2023,38.91,Paid,0
STA-R10216,STA-O13334,04-09-2024,22.08,Paid,0
STA-R9991,STA-O9207,18-05-2025,8.14,Paid,3.13
STA-R18618,STA-O9705,19-04-2023,17.84,Paid,0
STA-R16246,STA-O14485,02-06-2025,9.66,Paid,0
STA-R17773,STA-O9770,01-05-2023,3.32,Paid,0
STA-R16255,STA-O7826,07-09-2025,22.76,Pending,0
STA-R11121,STA-O10226,14-03-2023,8.36,Paid,0
STA-R11813,STA-O13660,26-03-2024,13.08,Paid,0
STA-R16399,STA-O10923,30-04-2024,6.61,Paid,6.61
STA-R15890,STA-O6715,17-10-2023,23.96,Paid,0
STA-R13694,STA-O11320,18-12-2025,17.28,Refunded,0
STA-R13258,STA-O6935,06-11-2024,18,Paid,0
STA-R17205,STA-O13650,17-10-2025,68.75,Paid,68.75
STA-R14274,STA-O5704,06-08-2025,0,Refunded,0
STA-R12800,STA-O5223,18-07-2025,27.8,Paid,27.8
STA-R17750,STA-O9190,31-03-2025,22.2,Paid,0
STA-R15003,STA-O9859,23-10-2024,8.76,Paid,0
STA-R18550,STA-O7815,14-05-2024,8.56,Paid,0
STA-R13203,STA-O8990,01-04-2023,3.6,Paid,0
STA-R15928,STA-O14829,12-06-2025,0,Paid,0
STA-R17638,STA-O7702,01-11-2025,16.6,Paid,0
STA-R12810,STA-O11111,08-11-2025,38.7,Paid,0
STA-R11655,STA-O11188,14-12-2025,76,Paid,0
STA-R18081,STA-O12098,26-02-2023,25.2,Refunded,0
STA-R12968,STA-O10452,30-03-2024,31.64,Paid,0
STA-R12946,STA-O13556,26-03-2023,25.9,Paid,0
STA-R12562,STA-O14504,14-04-2025,43.54,Pending,0
STA-R9640,STA-O11108,04-06-2024,74.82,Paid,0
STA-R14062,STA-O12605,21-07-2023,22.8,Paid,0
STA-R11200,STA-O8256,27-03-2023,20.36,Paid,20.36
STA-R14586,STA-O14020,28-10-2023,111.32,Paid,0
STA-R10128,STA-O7442,05-05-2024,30.24,Paid,0
STA-R9654,STA-O14446,10-02-2023,58.38,Paid,7.47
STA-R13076,STA-O5042,20-10-2023,84.16,Paid,0
STA-R14115,STA-O10278,17-03-2023,0,Paid,0
STA-R10972,STA-O6871,25-03-2025,26.44,Paid,0
STA-R12372,STA-O7570,31-10-2023,42.75,Refunded,0
STA-R11270,STA-O12685,15-04-2025,9.98,Paid,0
STA-R12962,STA-O11912,26-02-2025,5.77,Paid,5.77
STA-R16366,STA-O8623,20-06-2025,15.84,Paid,0
STA-R11601,STA-O10963,25-04-2024,0,Paid,16.74
STA-R10913,STA-O5752,14-04-2025,9.2,Paid,0
STA-R16290,STA-O5318,11-06-2024,17.64,Refunded,0
STA-R17525,STA-O8406,06-09-2025,43.2,Refunded,0
STA-R14760,STA-O14506,03-11-2024,48.66,Paid,0
STA-R13746,STA-O11999,13-10-2023,15.6,Paid,15.6
STA-R17703,STA-O14208,13-05-2025,17.86,Paid,17.86
STA-R12897,STA-O8779,16-07-2025,5.21,Paid,5.21
STA-R12316,STA-O11476,29-07-2025,16.04,Paid,0
STA-R14682,STA-O11107,17-03-2023,12.24,Refunded,0
STA-R10866,STA-O5863,02-09-2023,20.82,Pending,0
STA-R17709,STA-O13059,13-12-2024,56.1,Refunded,10.24
STA-R10911,STA-O14362,05-01-2023,17.95,Paid,0
STA-R16295,STA-O9730,24-08-2024,3.3,Paid,0
STA-R14303,STA-O8597,25-11-2023,22.37,Paid,0
STA-R11284,STA-O11931,17-09-2024,5.33,Paid,0
STA-R12934,STA-O10368,21-05-2024,10.14,Refunded,2.81
STA-R11694,STA-O13677,26-01-2023,22.32,Paid,0
STA-R9365,STA-O7809,12-11-2024,72.7,Paid,0
STA-R10113,STA-O7768,03-07-2025,113.2,Paid,0
STA-R17196,STA-O6076,26-06-2024,11.52,Refunded,0
STA-R12675,STA-O9219,08-11-2024,18.55,Paid,18.55
STA-R9976,STA-O8982,09-11-2024,78.46,Refunded,0
STA-R16950,STA-O12154,28-12-2024,6.17,Paid,0
STA-R15469,STA-O12032,26-11-2023,26.32,Paid,0
STA-R12101,STA-O10624,05-07-2025,103.65,Paid,0
STA-R12715,STA-O8231,24-08-2024,40.62,Refunded,0
STA-R17743,STA-O13758,24-02-2024,18.4,Paid,0
STA-R13778,STA-O7544,14-12-2025,14.22,Paid,0
STA-R10320,STA-O11504,08-03-2023,18.42,Refunded,0
STA-R16478,STA-O11572,07-11-2023,10.36,Paid,0
STA-R15655,STA-O8616,13-01-2024,19.25,Paid,0
STA-R13518,STA-O7689,13-01-2025,31.7,Paid,0
STA-R15339,STA-O13872,21-11-2025,166.8,Paid,0
STA-R14657,STA-O8353,30-03-2024,13.06,Paid,0
STA-R9178,STA-O6672,13-11-2025,0,Paid,0
STA-R15110,STA-O14205,13-05-2024,23.76,Paid,0
STA-R14699,STA-O9141,09-03-2024,0,Paid,20.84
STA-R11213,STA-O6131,03-07-2023,42.16,Paid,0
STA-R9021,STA-O5279,07-05-2024,36.64,Paid,36.64
STA-R12945,STA-O9969,23-11-2025,99.92,Refunded,0
STA-R12973,STA-O8020,30-11-2025,7.88,Paid,0
STA-R17662,STA-O9102,14-12-2025,0,Pending,0
STA-R13643,STA-O11464,03-03-2023,0,Paid,5.82
STA-R16919,STA-O9288,22-02-2025,28.36,Paid,0
STA-R15548,STA-O10534,30-08-2024,58.4,Paid,0
STA-R16975,STA-O13280,19-11-2024,6.47,Paid,0
STA-R9847,STA-O11270,09-03-2025,20.55,Paid,0
STA-R15741,STA-O6948,29-07-2023,29.35,Paid,0
STA-R16160,STA-O8269,26-07-2025,8.4,Paid,0
STA-R17813,STA-O7064,26-09-2023,19.92,Paid,0
STA-R16923,STA-O9040,10-12-2024,7.81,Refunded,0
STA-R14884,STA-O9766,27-10-2023,16.56,Refunded,0
STA-R11759,STA-O10021,06-07-2025,6.53,Paid,0
STA-R10271,STA-O8824,21-09-2024,28.64,Paid,0
STA-R16752,STA-O7268,07-10-2023,9.44,Paid,0
STA-R14992,STA-O13519,30-11-2025,57.84,Paid,0
STA-R12851,STA-O7575,29-06-2023,27.45,Paid,27.45
STA-R10439,STA-O5873,01-03-2025,14.85,Paid,0
STA-R11870,STA-O9430,02-07-2025,5.03,Paid,0
STA-R11860,STA-O7674,03-11-2024,8.48,Refunded,0
STA-R16378,STA-O11510,02-11-2025,16.32,Pending,0
STA-R17035,STA-O11611,18-09-2024,0,Paid,0
STA-R15711,STA-O10367,25-07-2025,10.12,Pending,0
STA-R9061,STA-O6906,08-06-2025,23.8,Paid,23.8
STA-R14673,STA-O8184,23-10-2025,11.5,Paid,11.5
STA-R15094,STA-O12867,23-07-2025,8.66,Paid,8.66
STA-R15892,STA-O7437,10-01-2025,20.16,Paid,0
STA-R11087,STA-O8467,11-03-2023,6.64,Paid,2.57
STA-R11445,STA-O8625,31-08-2023,6.03,Paid,0
STA-R17932,STA-O7800,18-12-2025,19.26,Paid,0
STA-R16368,STA-O10032,20-06-2024,18.55,Paid,18.55
STA-R14002,STA-O5069,23-07-2023,13.61,Paid,0
STA-R14174,STA-O7921,27-02-2023,15.64,Pending,0
STA-R18088,STA-O14022,13-02-2025,4.6,Paid,0
STA-R11724,STA-O5793,08-06-2025,15.62,Paid,0
STA-R15749,STA-O5115,10-09-2025,21.9,Refunded,0
STA-R16624,STA-O8914,10-11-2024,35.35,Paid,0
STA-R10784,STA-O5425,26-01-2024,11.37,Paid,0
STA-R9888,STA-O14454,05-04-2024,20.87,Paid,0
STA-R9838,STA-O14537,03-10-2023,0,Paid,0
STA-R17070,STA-O14905,03-08-2025,11.66,Paid,0
STA-R9002,STA-O11756,13-03-2023,6.98,Paid,0
STA-R10346,STA-O11864,18-12-2024,26.2,Refunded,0
STA-R13283,STA-O14526,12-04-2023,43.44,Paid,0
STA-R15513,STA-O8285,25-04-2025,98.68,Paid,0
STA-R10498,STA-O10255,29-07-2023,0,Paid,0
STA-R10429,STA-O11587,12-09-2023,22.52,Paid,0
STA-R11594,STA-O13609,20-11-2024,4.38,Paid,0
STA-R13029,STA-O13951,22-11-2023,50.4,Pending,0
STA-R10767,STA-O12730,27-09-2023,9.94,Paid,9.94
STA-R13676,STA-O9986,29-03-2025,14.61,Paid,14.61
STA-R16096,STA-O10728,27-05-2023,28.65,Refunded,0
STA-R14551,STA-O7408,18-10-2023,3.7,Paid,0
STA-R15499,STA-O6889,26-12-2024,5.77,Pending,0
STA-R17490,STA-O10399,31-10-2024,25.16,Refunded,0
STA-R10437,STA-O14998,30-04-2025,3.63,Refunded,0
STA-R12296,STA-O7706,11-04-2025,3.91,Paid,0
STA-R9603,STA-O10636,21-02-2023,18.93,Paid,0
STA-R10447,STA-O14543,19-09-2023,34.04,Refunded,0
STA-R13878,STA-O11122,06-06-2024,34.05,Paid,0
STA-R17847,STA-O13037,29-05-2025,0,Paid,0
STA-R13322,STA-O14474,17-06-2023,29.48,Paid,0
STA-R14503,STA-O8293,21-03-2023,5.84,Paid,0
STA-R10577,STA-O7153,29-06-2024,2.16,Pending,0
STA-R18015,STA-O8270,13-03-2024,39.25,Paid,0
STA-R9859,STA-O11842,20-12-2025,174.8,Paid,174.8
STA-R11748,STA-O10649,16-03-2025,58.4,Paid,0
STA-R10555,STA-O7699,30-06-2023,32.32,Paid,0
STA-R18392,STA-O13839,17-12-2025,3.74,Paid,0
STA-R12310,STA-O14585,03-12-2023,18.41,Paid,0
STA-R12143,STA-O13194,10-03-2024,25,Paid,25
STA-R16799,STA-O7619,03-01-2023,0,Paid,0
STA-R10177,STA-O5968,23-09-2024,16.55,Paid,0
STA-R10897,STA-O11816,19-04-2023,71.13,Refunded,0
STA-R17751,STA-O5705,21-04-2025,26.6,Refunded,0
STA-R13380,STA-O14933,16-12-2023,35.98,Paid,35.98
STA-R18158,STA-O6229,11-08-2025,5.07,Paid,0
STA-R15396,STA-O8994,21-12-2024,20.49,Paid,0
STA-R11988,STA-O10527,01-07-2024,18.18,Paid,0
STA-R13185,STA-O10576,20-06-2023,62.05,Paid,0
STA-R14587,STA-O6986,03-12-2025,17.28,Paid,0
STA-R14847,STA-O13281,14-10-2023,21.52,Refunded,0
STA-R13919,STA-O13104,13-12-2024,5.48,Paid,5.48
STA-R17467,STA-O9129,17-07-2025,15.23,Refunded,0
STA-R14321,STA-O5610,28-11-2023,21.27,Paid,0
STA-R13200,STA-O9222,12-12-2024,15.72,Refunded,0
STA-R10096,STA-O14873,20-10-2024,52.08,Paid,0
STA-R14397,STA-O12795,01-05-2023,0,Paid,0
STA-R14147,STA-O12310,16-07-2025,9.3,Paid,0
STA-R14210,STA-O5495,26-03-2025,37.26,Paid,0
STA-R13006,STA-O10850,03-01-2023,16.5,Paid,16.5
STA-R15878,STA-O9725,01-12-2023,3.73,Paid,3.73
STA-R9433,STA-O7601,07-06-2025,9.84,Paid,0
STA-R18557,STA-O9726,11-06-2023,17.74,Refunded,0
STA-R17429,STA-O8670,05-08-2023,13.68,Refunded,0
STA-R15317,STA-O8590,23-08-2025,6.88,Pending,0
STA-R13909,STA-O5334,29-06-2024,14.19,Paid,0
STA-R12222,STA-O14264,05-09-2024,0,Paid,0
STA-R11561,STA-O5907,10-10-2023,24,Paid,0
STA-R16354,STA-O12686,08-06-2023,57.4,Refunded,0
STA-R10850,STA-O14524,25-03-2025,13.12,Paid,0
STA-R17343,STA-O10161,13-06-2025,17.7,Paid,0
STA-R15613,STA-O6928,14-01-2024,16.14,Paid,0
STA-R16788,STA-O11025,28-04-2023,6.78,Refunded,0
STA-R17772,STA-O5553,26-03-2025,15.2,Paid,0
STA-R14081,STA-O8713,23-12-2025,27.36,Paid,27.36
STA-R13591,STA-O6122,05-10-2024,73.2,Pending,0
STA-R14934,STA-O9427,26-05-2023,82.6,Paid,0
STA-R14573,STA-O14508,29-07-2025,10.48,Refunded,2.01
STA-R14774,STA-O10760,24-05-2025,8.66,Paid,0
STA-R12325,STA-O5015,25-03-2024,15.22,Refunded,0
STA-R13317,STA-O8055,20-08-2023,23.34,Paid,0
STA-R11316,STA-O9309,20-08-2025,16.12,Paid,0
STA-R12329,STA-O12504,26-10-2025,5.02,Paid,0
STA-R17903,STA-O8721,17-03-2025,17.75,Paid,0
STA-R17479,STA-O9751,16-12-2024,0,Paid,0
STA-R15508,STA-O9277,03-07-2023,15.6,Refunded,0
STA-R11003,STA-O6959,12-04-2023,10.7,Paid,0
STA-R15769,STA-O7481,18-04-2023,89,Refunded,0
STA-R16242,STA-O13864,06-11-2024,10.26,Paid,0
STA-R14291,STA-O14326,26-12-2023,7.79,Paid,0
STA-R11215,STA-O9801,10-04-2025,82.92,Paid,0
STA-R13632,STA-O7597,13-07-2023,17.8,Paid,0
STA-R9477,STA-O7210,02-12-2023,32.16,Paid,0
STA-R12818,STA-O5890,06-08-2025,15.54,Paid,0
STA-R14014,STA-O10735,18-09-2024,5.1,Paid,0
STA-R9720,STA-O8193,24-08-2023,11.67,Paid,0
STA-R12097,STA-O12013,14-12-2024,4.96,Paid,0
STA-R12494,STA-O5703,02-11-2025,25.84,Paid,0
STA-R17335,STA-O11077,28-02-2024,29.9,Paid,0
STA-R10313,STA-O8044,09-04-2024,29,Paid,29
STA-R16889,STA-O5676,05-01-2023,22.9,Paid,0
STA-R12502,STA-O11609,24-02-2023,0,Paid,0
STA-R17896,STA-O12822,26-03-2024,32.16,Paid,32.16
STA-R12037,STA-O6094,06-02-2025,90.25,Paid,0
STA-R12312,STA-O14920,08-12-2024,26.75,Refunded,0
STA-R16108,STA-O14267,08-04-2024,14.22,Paid,14.22
STA-R13623,STA-O7811,27-03-2025,13.06,Paid,0
STA-R15091,STA-O10138,25-10-2025,20.7,Paid,0
STA-R15920,STA-O9488,01-03-2024,12.1,Paid,0
STA-R14751,STA-O14732,19-07-2024,0,Pending,37.74
STA-R11508,STA-O7083,07-01-2024,17.37,Paid,17.37
STA-R10535,STA-O9050,25-10-2023,19.3,Paid,0
STA-R9016,STA-O14581,16-05-2024,17.7,Paid,0
STA-R12864,STA-O14328,23-06-2024,80.6,Paid,0
STA-R9719,STA-O6539,09-11-2025,6.1,Paid,0
STA-R11837,STA-O10605,29-08-2024,20.31,Paid,0
STA-R14916,STA-O10387,11-11-2025,8.9,Paid,4.1
STA-R18510,STA-O6868,04-03-2025,23.56,Paid,23.56
STA-R14468,STA-O11406,22-10-2025,3.82,Paid,0
STA-R17494,STA-O5526,26-05-2023,11.46,Paid,0
STA-R18135,STA-O6008,04-08-2023,27,Paid,27
STA-R15073,STA-O10625,05-01-2024,6.24,Refunded,0
STA-R9109,STA-O9361,26-07-2025,24.3,Paid,0
STA-R16754,STA-O13834,31-01-2024,37.7,Paid,0
STA-R18034,STA-O9059,31-12-2024,5.89,Paid,0
STA-R13907,STA-O12610,22-05-2025,6.94,Paid,0
STA-R11933,STA-O5503,18-06-2025,3.29,Paid,3.29
STA-R10222,STA-O6521,14-12-2025,17.55,Refunded,0
STA-R14645,STA-O7440,06-05-2023,11.22,Paid,0
STA-R11495,STA-O5450,02-02-2024,70.36,Refunded,0
STA-R18633,STA-O10633,02-10-2025,14.67,Paid,0
STA-R9517,STA-O14672,18-12-2024,22.12,Pending,0
STA-R9515,STA-O14674,03-07-2023,22.24,Paid,0
STA-R11267,STA-O14554,06-05-2024,17.5,Paid,0
STA-R16979,STA-O11374,09-12-2025,31.75,Paid,0
STA-R10298,STA-O5161,03-06-2025,25.36,Refunded,0
STA-R11509,STA-O12905,17-12-2025,39.32,Paid,0
STA-R13276,STA-O6814,24-03-2024,17.2,Paid,0
STA-R18099,STA-O6265,17-05-2023,6.1,Paid,0
STA-R9449,STA-O12018,27-01-2024,53.01,Paid,0
STA-R11433,STA-O9914,22-11-2025,0,Paid,0
STA-R14755,STA-O9398,11-04-2025,19.11,Paid,0
STA-R17261,STA-O6761,22-05-2023,28.8,Paid,0
STA-R9723,STA-O5640,18-12-2025,13.54,Paid,0
STA-R17373,STA-O14793,25-09-2023,38.64,Refunded,0
STA-R12281,STA-O8118,09-11-2025,17.5,Paid,0
STA-R12827,STA-O8248,03-04-2023,13.96,Paid,0
STA-R13538,STA-O10239,26-09-2024,16.32,Paid,0
STA-R11318,STA-O12011,29-03-2023,13.46,Paid,13.46
STA-R17215,STA-O11255,14-02-2024,6.02,Paid,0
STA-R13055,STA-O5546,08-04-2024,23.08,Pending,0
STA-R13171,STA-O8485,26-05-2024,58.41,Paid,0
STA-R14745,STA-O6562,13-09-2025,0,Paid,0
STA-R9395,STA-O5713,14-10-2023,5.36,Paid,0
STA-R15880,STA-O8499,09-04-2023,66.02,Paid,0
STA-R10458,STA-O8931,18-09-2023,5.4,Paid,0
STA-R13940,STA-O12145,18-01-2024,15.04,Paid,0
STA-R11549,STA-O7048,18-04-2024,15.72,Paid,0
STA-R13017,STA-O5988,12-08-2023,47.4,Paid,8.63
STA-R11015,STA-O10552,04-01-2024,4.65,Paid,0
STA-R18506,STA-O8687,15-04-2024,21.33,Paid,21.33
STA-R18632,STA-O9752,29-04-2023,86.9,Refunded,0
STA-R16832,STA-O5061,30-12-2023,24.88,Paid,24.88
STA-R18553,STA-O14976,10-04-2024,7.57,Paid,0
STA-R15671,STA-O10867,05-09-2025,36.95,Paid,0
STA-R18442,STA-O14297,05-09-2025,11.9,Refunded,0
STA-R14939,STA-O6584,13-01-2024,4.12,Paid,0
STA-R15707,STA-O9862,24-07-2023,59.7,Refunded,0
STA-R12512,STA-O14210,26-06-2024,18.39,Refunded,0
STA-R11607,STA-O9537,21-11-2024,37.59,Paid,0
STA-R18226,STA-O5448,03-01-2023,7.44,Paid,0
STA-R15537,STA-O5305,13-01-2023,5.26,Paid,0
STA-R12118,STA-O11834,29-03-2023,49.05,Paid,0
STA-R12786,STA-O8846,15-11-2025,3.34,Paid,1.59
STA-R12518,STA-O11723,16-09-2024,79.77,Pending,0
STA-R11014,STA-O6297,14-04-2025,5.91,Paid,0
STA-R13306,STA-O6353,10-03-2024,15.34,Refunded,0
STA-R16256,STA-O9901,12-06-2024,32.76,Paid,32.76
STA-R16911,STA-O11540,04-05-2023,19.4,Paid,0
STA-R14360,STA-O9363,25-12-2025,13.44,Pending,0
STA-R9536,STA-O9428,11-04-2024,15.21,Paid,15.21
STA-R14848,STA-O9580,29-07-2024,25.23,Paid,25.23
STA-R18236,STA-O14127,13-10-2024,5.66,Pending,0
STA-R13038,STA-O10994,11-08-2024,14.34,Paid,5.24
STA-R17698,STA-O8116,05-08-2025,3.83,Paid,0
STA-R11882,STA-O5688,13-07-2025,20.73,Paid,0
STA-R11311,STA-O10768,22-08-2023,45.08,Paid,0
STA-R15282,STA-O13166,17-01-2023,29.7,Pending,0
STA-R18144,STA-O9866,05-11-2024,13.74,Paid,0
STA-R18107,STA-O11365,27-10-2024,10.3,Paid,0
STA-R12345,STA-O12047,22-09-2025,58.34,Paid,0
STA-R13191,STA-O8705,28-02-2024,6.47,Paid,0
STA-R18585,STA-O12762,31-12-2025,23.46,Paid,0
STA-R13494,STA-O6696,14-11-2024,4.61,Paid,0
STA-R9744,STA-O7148,29-08-2024,34.44,Pending,0
STA-R15644,STA-O13990,24-04-2023,11.07,Paid,11.07
STA-R16221,STA-O6611,01-12-2023,45.36,Paid,0
STA-R16932,STA-O7965,17-02-2024,17.7,Paid,17.7
STA-R9451,STA-O5674,11-03-2023,23.94,Paid,0
STA-R14072,STA-O9319,23-12-2024,44.05,Paid,0
STA-R10719,STA-O9940,22-10-2023,5.84,Refunded,0.93
STA-R18145,STA-O14654,10-01-2023,25.36,Refunded,0
STA-R13249,STA-O6262,26-03-2024,5.22,Paid,0
STA-R13450,STA-O13385,11-07-2023,69.72,Refunded,0
STA-R9861,STA-O11119,26-05-2023,24.85,Paid,0
STA-R13234,STA-O10619,25-11-2023,31.28,Paid,31.28
STA-R9268,STA-O13108,20-06-2025,20.4,Paid,0
STA-R18343,STA-O11803,06-10-2024,7.9,Paid,0
STA-R15002,STA-O12391,03-06-2025,32.8,Paid,0
STA-R12981,STA-O9462,06-03-2023,6.83,Paid,0
STA-R10321,STA-O8128,15-01-2025,29.4,Paid,0
STA-R16212,STA-O13057,10-11-2024,17.34,Paid,17.34
STA-R14635,STA-O5541,23-05-2024,5.12,Paid,0
STA-R10672,STA-O14331,30-03-2024,5.59,Paid,0
STA-R9668,STA-O10644,30-08-2024,15.6,Paid,0
STA-R17116,STA-O12438,25-12-2025,12.72,Paid,0
STA-R18265,STA-O5993,06-12-2025,16.76,Paid,16.76
